id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type,added_at,genres,album_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,time_signature
7mBE81zjitbqaf6oN31R5u,Sensiz Ben,65,audio_features,False,False,270480,1,3,1bzmtVU7jf2rRZJALkZA3j,Pera,1bzmtVU7jf2rRZJALkZA3j,Pera,1lmUxG4Ahnb3FeeUEoIGUO,Giz,2013-12-10,14,album,2021-11-05T23:39:23Z,['turkish rock'],['turkish rock'],0.726,0.611,9,-8.058,0,0.0254,0.117,0.000311,0.226,0.554,106.042,spotify:track:7mBE81zjitbqaf6oN31R5u,https://api.spotify.com/v1/tracks/7mBE81zjitbqaf6oN31R5u,https://api.spotify.com/v1/audio-analysis/7mBE81zjitbqaf6oN31R5u,4
3P8q56eRbK2ujkKT84I7av,İzmir'in Kızları,50,audio_features,False,False,280267,1,8,64d1rUxfizSAOE9UbMnUZd,Sezen Aksu,64d1rUxfizSAOE9UbMnUZd,Sezen Aksu,4nsSpFG5INHqLvzf1OZbQ1,Deniz Yıldızı,2008-06-18,14,album,2021-11-05T23:37:30Z,['turkish pop'],['turkish pop'],0.598,0.632,6,-5.772,0,0.0363,0.562,0.0,0.0892,0.735,144.913,spotify:track:3P8q56eRbK2ujkKT84I7av,https://api.spotify.com/v1/tracks/3P8q56eRbK2ujkKT84I7av,https://api.spotify.com/v1/audio-analysis/3P8q56eRbK2ujkKT84I7av,4
04ZTP5KsCypmtCmQg5tH9R,I'm a Mess,77,audio_features,False,False,195519,1,2,64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,4TOkZvtqNpg5UHyGxCn0mS,Expectations,2018-06-22,14,album,2021-06-29T11:59:06Z,"['dance pop', 'edm', 'electropop', 'pop', 'post-teen pop']","['dance pop', 'edm', 'electropop', 'pop', 'post-teen pop']",0.63,0.694,11,-6.257,0,0.0253,0.00281,0.0,0.0719,0.216,97.005,spotify:track:04ZTP5KsCypmtCmQg5tH9R,https://api.spotify.com/v1/tracks/04ZTP5KsCypmtCmQg5tH9R,https://api.spotify.com/v1/audio-analysis/04ZTP5KsCypmtCmQg5tH9R,4
67VXzMGtIrbj52tB6D4djH,Huyu Suyu,64,audio_features,False,False,153972,1,1,1zofEGCCvRwAdhetK573gb,emir taha,1zofEGCCvRwAdhetK573gb,emir taha,59X5b8naRHRkj3jjCpM45O,Huyu Suyu,2020-05-22,1,album,2021-06-25T10:53:21Z,['turkish trap pop'],['turkish trap pop'],0.744,0.372,5,-12.749,0,0.141,0.478,0.000929,0.284,0.326,155.989,spotify:track:67VXzMGtIrbj52tB6D4djH,https://api.spotify.com/v1/tracks/67VXzMGtIrbj52tB6D4djH,https://api.spotify.com/v1/audio-analysis/67VXzMGtIrbj52tB6D4djH,4
1fFUHk3ndRnLACiyzOexQF,Sto 'Pa Ke Sto Xanaleo - Live,36,audio_features,False,False,287400,1,16,0eLU3EgFDZOFgd2Dwalfwo,George Dalaras,0eLU3EgFDZOFgd2Dwalfwo,George Dalaras,6OnpE8EPqva5afPSkqGHJm,Zodani Ihografisi Stin Iera Odo,1997-01-01,16,album,2020-12-21T14:11:04Z,"['entehno', 'greek guitar', 'laiko', 'rebetiko']","['entehno', 'greek guitar', 'laiko', 'rebetiko']",0.345,0.474,10,-9.252,1,0.031,0.644,0.000144,0.953,0.0666,93.686,spotify:track:1fFUHk3ndRnLACiyzOexQF,https://api.spotify.com/v1/tracks/1fFUHk3ndRnLACiyzOexQF,https://api.spotify.com/v1/audio-analysis/1fFUHk3ndRnLACiyzOexQF,4
33mwlULWGPU3NaRiKB73mQ,Margarites,43,audio_features,False,False,246933,1,5,7xySz9OyEWxKC6RyDlo256,Angela Dimitriou,7xySz9OyEWxKC6RyDlo256,Angela Dimitriou,1IrOQAe8Maavs0a5UyDVlC,Mi Mas Agapas,1996-11-11,13,album,2020-12-16T23:13:27Z,"['greek pop', 'laiko']","['greek pop', 'laiko']",0.599,0.565,2,-12.606,1,0.0466,0.275,0.0,0.0545,0.581,169.719,spotify:track:33mwlULWGPU3NaRiKB73mQ,https://api.spotify.com/v1/tracks/33mwlULWGPU3NaRiKB73mQ,https://api.spotify.com/v1/audio-analysis/33mwlULWGPU3NaRiKB73mQ,4
6bJnv3XAkUBlNQ9CKiICKl,ily,0,audio_features,False,False,181071,1,1,1lmU3giNF3CSbkVSQmLpHQ,Surf Mesa,1lmU3giNF3CSbkVSQmLpHQ,Surf Mesa,0Bo7e70BaJBWpPcT9PjJyP,ily,2019-11-26,1,album,2020-12-11T15:59:00Z,['tropical house'],['tropical house'],0.668,0.802,11,-7.317,0,0.0816,0.0581,0.0125,0.362,0.293,112.039,spotify:track:6bJnv3XAkUBlNQ9CKiICKl,https://api.spotify.com/v1/tracks/6bJnv3XAkUBlNQ9CKiICKl,https://api.spotify.com/v1/audio-analysis/6bJnv3XAkUBlNQ9CKiICKl,4
3zWfjRtvm3gFEAjqeWScEl,Field,66,audio_features,False,False,113050,1,2,69RwhKw37lY73bMGaSts7C,Evgeny Grinko,69RwhKw37lY73bMGaSts7C,Evgeny Grinko,4bfTO7z4xWS3ATjq5j9ay5,Silent Like Water,2015,5,album,2020-10-09T12:31:27Z,['turkish instrumental'],['turkish instrumental'],0.191,0.0859,9,-21.876,0,0.0389,0.988,0.902,0.115,0.292,161.21,spotify:track:3zWfjRtvm3gFEAjqeWScEl,https://api.spotify.com/v1/tracks/3zWfjRtvm3gFEAjqeWScEl,https://api.spotify.com/v1/audio-analysis/3zWfjRtvm3gFEAjqeWScEl,4
4TXW37vOHHoo1oyYHEw85t,Kedi,46,audio_features,False,False,213024,1,1,5IAxUWLiTMsvc1oWPrczNj,Melek Mosso,5IAxUWLiTMsvc1oWPrczNj,Melek Mosso,5TqMx2jp6pQIrafEc4hLTB,Kedi,2018-02-23,1,album,2020-10-02T12:56:03Z,"['turkish alt pop', 'turkish pop']","['turkish alt pop', 'turkish pop']",0.824,0.703,7,-5.242,1,0.173,0.192,0.0,0.0919,0.645,124.031,spotify:track:4TXW37vOHHoo1oyYHEw85t,https://api.spotify.com/v1/tracks/4TXW37vOHHoo1oyYHEw85t,https://api.spotify.com/v1/audio-analysis/4TXW37vOHHoo1oyYHEw85t,4
5n6RDaGFSN88oRWuGtYAIN,The Show Must Go On - Remastered 2011,71,audio_features,False,False,277827,1,12,1dfeR4HaWDbWqFHLkxsg1d,Queen,1dfeR4HaWDbWqFHLkxsg1d,Queen,5kffKW0sSLo6tkLg1veUGC,Innuendo (2011 Remaster),1991-02-05,12,album,2020-10-02T12:56:03Z,"['classic rock', 'glam rock', 'rock']","['classic rock', 'glam rock', 'rock']",0.426,0.687,11,-6.926,0,0.0329,0.409,0.0,0.112,0.189,84.141,spotify:track:5n6RDaGFSN88oRWuGtYAIN,https://api.spotify.com/v1/tracks/5n6RDaGFSN88oRWuGtYAIN,https://api.spotify.com/v1/audio-analysis/5n6RDaGFSN88oRWuGtYAIN,4
