id,uri,type,name,genres,followers
0VsS7WKuNEsKGNIWuiwSyZ,spotify:artist:0VsS7WKuNEsKGNIWuiwSyZ,artist,Gaye Su Akyol,['turkish jazz'],147020
1QAJqy2dA3ihHBFIHRphZj,spotify:artist:1QAJqy2dA3ihHBFIHRphZj,artist,Cigarettes After Sex,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",3023538
1bzmtVU7jf2rRZJALkZA3j,spotify:artist:1bzmtVU7jf2rRZJALkZA3j,artist,Pera,['turkish rock'],479278
1dsKaRPU3HFSdlNyMmH5QI,spotify:artist:1dsKaRPU3HFSdlNyMmH5QI,artist,Fatma Turgut,"['turkce slow sarkilar', 'turkish alternative rock']",252127
2NGRETzxjeN4b9o3OGY6Yn,spotify:artist:2NGRETzxjeN4b9o3OGY6Yn,artist,Selda Bağcan,"['anadolu rock', 'azeri traditional', 'turkish folk', 'turkish jazz', 'turkish psych']",822401
37PL04N8kBWWW69jdrMMWT,spotify:artist:37PL04N8kBWWW69jdrMMWT,artist,Altin Gün,"['dutch indie', 'turkish psych']",170336
40KlwpvpKEQtZTJgbml8lT,spotify:artist:40KlwpvpKEQtZTJgbml8lT,artist,Teoman,"['turkish pop', 'turkish rock']",1644373
4gzpq5DPGxSnKTe4SA8HAU,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,artist,Coldplay,"['permanent wave', 'pop']",33384131
5gFPi3KWXEwA9bLEO47Ow0,spotify:artist:5gFPi3KWXEwA9bLEO47Ow0,artist,Sıla,['turkish pop'],1705828
6zVFRTB0Y1whWyH7ZNmywf,spotify:artist:6zVFRTB0Y1whWyH7ZNmywf,artist,Tash Sultana,['australian reggae fusion'],1388290
7gobcoscOfsY0nOeqqFzvU,spotify:artist:7gobcoscOfsY0nOeqqFzvU,artist,Yüzyüzeyken Konuşuruz,['turkish alternative rock'],1889451
