id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type
5TawnxjFjcnC9qrTa4TcwD,Gözlerimin Etrafındaki Çizgiler,52,track,False,False,386101,1,5,74xBVPWYoSf5pvo5IkePRO,Şebnem Ferah,74xBVPWYoSf5pvo5IkePRO,Şebnem Ferah,3MDxgydU3TztIAnA3Lcb44,Kelimeler Yetse,2003,10,album
5y8BpcvQ7PKbcShMgyXfEO,Duymak İstiyorum,50,track,False,False,221760,1,5,66vIaZFb8okZH0npc4eQ5q,emre aydın,66vIaZFb8okZH0npc4eQ5q,emre aydın,21K6UuGOQNqLYaCa1GtrOz,Kağıt Evler,2010-11-01,10,album
7d6a6iCrDMiE7ECgawQTsT,Beni Hatırladın mı,60,track,False,False,243227,1,3,2AWUCT9xtcvkjpFq1ZgpPj,Cem Adrian,2AWUCT9xtcvkjpFq1ZgpPj,Cem Adrian,4qXaWD5xkR2Ch9gGLdyaxb,Tuz Buz,2017-11-13,13,album
7qpsBYyn5eTk5rHl5ppWW5,Nehirler Durmaz,48,track,False,False,232307,1,1,4Bdqzh78prwuqwInMb555P,Pinhani,4Bdqzh78prwuqwInMb555P,Pinhani,52AEhR89otvpWMf2Y4CNvL,Kediköy,2015,13,album
4xBx2GkcjASQl3DNNVdeuC,We Could Be the Same,48,track,False,False,228310,1,7,7rEIUw67hRTgievwuKQGSj,maNga,7rEIUw67hRTgievwuKQGSj,maNga,1Cxeztp1Vrp1j8Oinq3YGo,e-akustik,2012,15,album
5Xs9ausy71jYfKSBHjO3t0,Olmazsan Olmaz,54,track,False,False,173726,1,2,7yiJcbeab3PFoFhxtNDujs,Güliz Ayla,7yiJcbeab3PFoFhxtNDujs,Güliz Ayla,4j6JrIJFSDO85NMTRXfzKm,Güliz Ayla,2015-10-02,9,album
62Nuh1xuZf6Nbn3dSYLYS1,Yine Yazı Bekleriz,58,track,False,False,285805,1,5,4EJYpvhyY4gO4rjEeitXLa,TNK,4EJYpvhyY4gO4rjEeitXLa,TNK,6PQ9g29Ak5uMDBVArJlAgg,Söyle Ruhum,2010,10,album
3YBIUbbamN9fz65tXN9V1C,Hiç Kimsenin Günahı Yok,68,track,False,False,187764,1,1,1hWfWJvstJQPgjZ2vDFY0P,Sufle,1hWfWJvstJQPgjZ2vDFY0P,Sufle,5oK4v69ORQO2XJGgW8YKcG,Hiç Kimsenin Günahı Yok,2020-11-27,1,album
1egJnLSc3QgJeRnqrYbi1D,Çürüsün Gelinliğim,40,track,False,False,245420,1,9,23xJQJM7peht77DF6YNEoq,Model,23xJQJM7peht77DF6YNEoq,Model,1Z6QLsfqXdU78LQWIP9akr,Diğer Masallar,2011-02-16,12,album
4TPDtuazf64oXjPBSsKwSi,Kül - Demli Versiyon,43,track,False,False,312626,1,3,7MZj0XxqxlCZPj6JsMQq0Z,Feridun Düzağaç,7MZj0XxqxlCZPj6JsMQq0Z,Feridun Düzağaç,66LJadVvZYz8EjKP73Y6Uu,Başka,2015-11-06,10,album
