id,uri,type,name,genres,followers
1Y2FwScblyMxpLTrNdfwyU,spotify:artist:1Y2FwScblyMxpLTrNdfwyU,artist,Ahmet Kaya,['turkish folk'],4083511
4cMwyqmHCwJjRZ3frIVHTr,spotify:artist:4cMwyqmHCwJjRZ3frIVHTr,artist,Müslüm Gürses,['arabesk'],3848098
1afML5pJuVr3ye8TGyYcV2,spotify:artist:1afML5pJuVr3ye8TGyYcV2,artist,Neşet Ertaş,"['baglama', 'bozlak', 'oyun havasi', 'turkish folk']",2012360
3Nrfpe0tUJi4K4DXYWgMUX,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,artist,BTS,"['k-pop', 'k-pop boy group']",43535091
64d1rUxfizSAOE9UbMnUZd,spotify:artist:64d1rUxfizSAOE9UbMnUZd,artist,Sezen Aksu,['turkish pop'],5325846
0gPgE6wLLiPnrakh9WcsdQ,spotify:artist:0gPgE6wLLiPnrakh9WcsdQ,artist,İbrahim Tatlıses,"['arabesk', 'turkish folk']",1207365
1qZ684TB9E1BjH58btdtYd,spotify:artist:1qZ684TB9E1BjH58btdtYd,artist,Buray,"['turkish deep house', 'turkish pop', 'turkish trap pop']",1354296
295s7rUdwD6adgPiYMRUAM,spotify:artist:295s7rUdwD6adgPiYMRUAM,artist,Musa Eroğlu,"['arabesk', 'baglama', 'turkish folk']",461655
5gFPi3KWXEwA9bLEO47Ow0,spotify:artist:5gFPi3KWXEwA9bLEO47Ow0,artist,Sıla,['turkish pop'],1705828
1B0fCkXH620aujSMm3wIKS,spotify:artist:1B0fCkXH620aujSMm3wIKS,artist,Sura İskenderli,"['turkish pop', 'turkish trap pop']",313733
2E7qpjo4NUBhV8tEUdPVkJ,spotify:artist:2E7qpjo4NUBhV8tEUdPVkJ,artist,Azer Bülbül,['arabesk'],587873
6LnJKrtFnTEGdbWQ2riWCL,spotify:artist:6LnJKrtFnTEGdbWQ2riWCL,artist,Ezhel,"['turkish hip hop', 'turkish trap']",4261104
