id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type,genres,album_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,time_signature
3AFMhYzAtkkICb5h8VELpm,Leyla Mecnun,58,audio_features,False,False,139117,1,1,2a2YSCx78HHWVOsCuMpeXz,Burak Bulut,2a2YSCx78HHWVOsCuMpeXz,Burak Bulut,7ivDylKfpVW0f5dumQOLyM,Leyla Mecnun,2021-07-08,1,album,['turkish trap pop'],['turkish trap pop'],0.641,0.778,6,-5.251,0,0.104,0.13,0.0,0.117,0.667,176.102,spotify:track:3AFMhYzAtkkICb5h8VELpm,https://api.spotify.com/v1/tracks/3AFMhYzAtkkICb5h8VELpm,https://api.spotify.com/v1/audio-analysis/3AFMhYzAtkkICb5h8VELpm,4
3lJOIGsFylH947nMpYzfGO,Alaz Alaz,68,audio_features,False,False,179271,1,5,1qZ684TB9E1BjH58btdtYd,Buray,1qZ684TB9E1BjH58btdtYd,Buray,10SYL3StnN0Gxqr9jGkDxS,Başka Hikayeler,2021-02-26,10,album,"['turkish deep house', 'turkish pop', 'turkish trap pop']","['turkish deep house', 'turkish pop', 'turkish trap pop']",0.688,0.635,2,-5.008,1,0.028,0.721,0.0,0.406,0.644,114.022,spotify:track:3lJOIGsFylH947nMpYzfGO,https://api.spotify.com/v1/tracks/3lJOIGsFylH947nMpYzfGO,https://api.spotify.com/v1/audio-analysis/3lJOIGsFylH947nMpYzfGO,4
7tQzRtcodzeVr6n0DdVHCe,Toparlanmam Lazım,48,audio_features,False,False,195692,1,1,2xNgzwX6A9orF0QEJph5Eb,Kerim Araz,2xNgzwX6A9orF0QEJph5Eb,Kerim Araz,7cMKfAygL40oApyrkCrwmz,Toparlanmam Lazım,2021-07-13,1,album,['turkish trap pop'],['turkish trap pop'],0.696,0.452,1,-10.294,0,0.0392,0.709,3.13e-05,0.153,0.371,129.909,spotify:track:7tQzRtcodzeVr6n0DdVHCe,https://api.spotify.com/v1/tracks/7tQzRtcodzeVr6n0DdVHCe,https://api.spotify.com/v1/audio-analysis/7tQzRtcodzeVr6n0DdVHCe,4
5eattTP6wBD7BN8KtKt7gO,Güya,50,audio_features,False,False,179651,1,1,3WKZeiNOV5dnANlQnjL95B,Irmak Arıcı,3WKZeiNOV5dnANlQnjL95B,Irmak Arıcı,0Djqo0rhYBbRpIFEZbzEqQ,Güya,2021-03-19,1,album,"['turkish pop', 'turkish trap pop']","['turkish pop', 'turkish trap pop']",0.779,0.571,10,-6.731,0,0.212,0.279,2.44e-05,0.066,0.733,171.936,spotify:track:5eattTP6wBD7BN8KtKt7gO,https://api.spotify.com/v1/tracks/5eattTP6wBD7BN8KtKt7gO,https://api.spotify.com/v1/audio-analysis/5eattTP6wBD7BN8KtKt7gO,4
76hJfwdz1qTEWeqD9OTk0l,Yar imiş Meğer,44,audio_features,False,False,392587,1,4,1afML5pJuVr3ye8TGyYcV2,Neşet Ertaş,1afML5pJuVr3ye8TGyYcV2,Neşet Ertaş,4d0br6r9ol1ACjARsp56dx,Collection,2017-11-17,26,album,"['baglama', 'bozlak', 'oyun havasi', 'turkish folk']","['baglama', 'bozlak', 'oyun havasi', 'turkish folk']",0.343,0.681,3,-9.429,1,0.0396,0.827,0.471,0.122,0.642,85.958,spotify:track:76hJfwdz1qTEWeqD9OTk0l,https://api.spotify.com/v1/tracks/76hJfwdz1qTEWeqD9OTk0l,https://api.spotify.com/v1/audio-analysis/76hJfwdz1qTEWeqD9OTk0l,4
3e5QNL43WB4zBsW9qQ6F1d,Rüzgar,51,audio_features,False,False,184804,1,1,2wswrLV1o19frClh3pHxws,Bilal Hancı,2wswrLV1o19frClh3pHxws,Bilal Hancı,7ElSWLBDjMT9RJsy0sGGtA,Rüzgar,2021-07-02,1,album,"['karadeniz pop', 'turkish trap pop']","['karadeniz pop', 'turkish trap pop']",0.69,0.805,5,-5.21,0,0.12,0.0911,0.0,0.571,0.62,99.969,spotify:track:3e5QNL43WB4zBsW9qQ6F1d,https://api.spotify.com/v1/tracks/3e5QNL43WB4zBsW9qQ6F1d,https://api.spotify.com/v1/audio-analysis/3e5QNL43WB4zBsW9qQ6F1d,4
7aI1YkyFmJtB2OvI1dF2o7,RRAK TAK TAK - Remix,29,audio_features,False,False,149677,1,1,07eC5PcqS4O5e6NX1mrSCZ,Eri Qerimi,07eC5PcqS4O5e6NX1mrSCZ,Eri Qerimi,6uhwxyEzfgoyv6yJJHdoxQ,RRAK TAK TAK (Remix),2021-06-11,1,album,[],[],0.72,0.735,10,-3.123,0,0.0484,0.102,0.44,0.165,0.613,92.99,spotify:track:7aI1YkyFmJtB2OvI1dF2o7,https://api.spotify.com/v1/tracks/7aI1YkyFmJtB2OvI1dF2o7,https://api.spotify.com/v1/audio-analysis/7aI1YkyFmJtB2OvI1dF2o7,4
12Df1GI1bZGHG5l0PvvxRc,Gün Ağarmadan,44,audio_features,False,False,195375,1,1,3cNwyF5SboOs9icz2XyotE,Mustafa Ceceli,3cNwyF5SboOs9icz2XyotE,Mustafa Ceceli,4NAFZH7smr9G2SP4U8stRX,Gün Ağarmadan,2020-06-12,1,album,"['karadeniz pop', 'turkish pop', 'turkish trap pop']","['karadeniz pop', 'turkish pop', 'turkish trap pop']",0.436,0.611,5,-5.328,0,0.0548,0.283,0.0,0.276,0.151,159.707,spotify:track:12Df1GI1bZGHG5l0PvvxRc,https://api.spotify.com/v1/tracks/12Df1GI1bZGHG5l0PvvxRc,https://api.spotify.com/v1/audio-analysis/12Df1GI1bZGHG5l0PvvxRc,4
6Cccs46H9lvssHSKypNe3D,BASKIN (feat. Ceza & Gazapizm),64,audio_features,False,True,209145,1,2,6hBbagFZrwC44AclzbxWvU,DJ Sivo,6hBbagFZrwC44AclzbxWvU,DJ Sivo,0gFN1g60cmnD4HPFgujZVe,Griot,2021-07-09,10,album,"['turkish hip hop', 'turkish trap pop']","['turkish hip hop', 'turkish trap pop']",0.828,0.884,7,-5.805,1,0.273,0.129,0.0,0.308,0.662,140.068,spotify:track:6Cccs46H9lvssHSKypNe3D,https://api.spotify.com/v1/tracks/6Cccs46H9lvssHSKypNe3D,https://api.spotify.com/v1/audio-analysis/6Cccs46H9lvssHSKypNe3D,4
0h8Si92FV5u2GE2U692bqN,Mavişim,59,audio_features,False,False,192453,1,9,0gPgE6wLLiPnrakh9WcsdQ,İbrahim Tatlıses,0gPgE6wLLiPnrakh9WcsdQ,İbrahim Tatlıses,2QrB1VRiarQJoM6Q2XnUAY,Yetmez Mi?,2001-10-10,15,album,"['arabesk', 'turkish folk']","['arabesk', 'turkish folk']",0.736,0.843,0,-8.697,0,0.0647,0.473,2.71e-05,0.247,0.683,103.288,spotify:track:0h8Si92FV5u2GE2U692bqN,https://api.spotify.com/v1/tracks/0h8Si92FV5u2GE2U692bqN,https://api.spotify.com/v1/audio-analysis/0h8Si92FV5u2GE2U692bqN,4
